"totalBestAnswers";"profile_2";"period"
"1";"4";"1"
"68";"4";"6"
"101";"4";"7"
"2";"1";"8"
"84";"4";"8"
"75";"4";"9"
"2";"1";"10"
"73";"4";"10"
"2";"1";"11"
"65";"4";"11"
"2";"1";"12"
"73";"4";"12"
"53";"4";"13"
"54";"4";"14"
"1";"1";"15"
"80";"4";"15"
"1";"1";"16"
"56";"4";"16"
"1";"1";"17"
"67";"4";"17"
"39";"4";"18"
"4";"1";"19"
"64";"4";"19"
"3";"1";"20"
"68";"4";"20"
"3";"1";"21"
"55";"4";"21"
"70";"4";"22"
"1";"1";"23"
"87";"4";"23"
"4";"1";"24"
"74";"4";"24"
"79";"4";"25"
"2";"1";"26"
"106";"4";"26"
"1";"1";"27"
"103";"4";"27"
"1";"1";"28"
"90";"4";"28"
"4";"1";"29"
"84";"4";"29"
"2";"1";"30"
"86";"4";"30"
"2";"1";"31"
"79";"4";"31"
"7";"1";"32"
"120";"4";"32"
"2";"1";"33"
"136";"4";"33"
"4";"1";"34"
"164";"4";"34"
"6";"1";"35"
"141";"4";"35"
"4";"1";"36"
"116";"4";"36"
"3";"1";"37"
"124";"4";"37"
"5";"1";"38"
"152";"4";"38"
"1";"1";"39"
"162";"4";"39"
"7";"1";"40"
"135";"4";"40"
"4";"1";"41"
"129";"4";"41"
"5";"1";"42"
"151";"4";"42"
"2";"1";"43"
"130";"4";"43"
"5";"1";"44"
"122";"4";"44"
"4";"1";"45"
"143";"4";"45"
"3";"1";"46"
"184";"4";"46"
"4";"1";"47"
"137";"4";"47"
"3";"1";"48"
"190";"4";"48"
"5";"1";"49"
"126";"4";"49"
"1";"1";"50"
"107";"4";"50"
"5";"1";"51"
"123";"4";"51"
"4";"1";"52"
"115";"4";"52"
"11";"1";"53"
"130";"4";"53"
"8";"1";"54"
"111";"4";"54"
"7";"1";"55"
"123";"4";"55"
"9";"1";"56"
"138";"4";"56"
"8";"1";"57"
"126";"4";"57"
"4";"1";"58"
"141";"4";"58"
"11";"1";"59"
"100";"4";"59"
"7";"1";"60"
"122";"4";"60"
"5";"1";"61"
"86";"4";"61"
"6";"1";"62"
"122";"4";"62"
"11";"1";"63"
"67";"4";"63"
"5";"1";"64"
"124";"4";"64"
"4";"1";"65"
"108";"4";"65"
"5";"1";"66"
"98";"4";"66"
"4";"1";"67"
"117";"4";"67"
"9";"1";"68"
"121";"4";"68"
"9";"1";"69"
"117";"4";"69"
"8";"1";"70"
"189";"4";"70"
"9";"1";"71"
"130";"4";"71"
"6";"1";"72"
"57";"4";"72"
