"period";"profileUserSource";"profileUserDest";"total"
"2";"1";"1";"1"
"2";"1";"4";"9"
"2";"4";"1";"7"
"2";"4";"4";"282"
"3";"1";"1";"4"
"3";"1";"4";"24"
"3";"4";"1";"12"
"3";"4";"4";"450"
"4";"1";"1";"4"
"4";"1";"4";"34"
"4";"4";"1";"13"
"4";"4";"4";"599"
"5";"1";"1";"6"
"5";"1";"4";"59"
"5";"4";"1";"22"
"5";"4";"4";"717"
"6";"1";"1";"8"
"6";"1";"4";"79"
"6";"4";"1";"42"
"6";"4";"4";"862"
"7";"1";"1";"11"
"7";"1";"4";"102"
"7";"4";"1";"48"
"7";"4";"4";"991"
"8";"1";"1";"13"
"8";"1";"4";"137"
"8";"4";"1";"55"
"8";"4";"4";"1100"
"9";"1";"1";"23"
"9";"1";"4";"201"
"9";"4";"1";"73"
"9";"4";"4";"1208"
"10";"1";"1";"24"
"10";"1";"4";"228"
"10";"4";"1";"83"
"10";"4";"4";"1315"
"11";"1";"1";"29"
"11";"1";"4";"274"
"11";"4";"1";"100"
"11";"4";"4";"1456"
"12";"1";"1";"34"
"12";"1";"4";"331"
"12";"4";"1";"109"
"12";"4";"4";"1619"
"13";"1";"1";"38"
"13";"1";"4";"413"
"13";"4";"1";"121"
"13";"4";"4";"1782"
"14";"1";"1";"49"
"14";"1";"4";"480"
"14";"4";"1";"136"
"14";"4";"4";"1948"
"15";"1";"1";"58"
"15";"1";"4";"548"
"15";"4";"1";"152"
"15";"4";"4";"2137"
"16";"1";"1";"66"
"16";"1";"4";"594"
"16";"4";"1";"160"
"16";"4";"4";"2265"
"17";"1";"1";"73"
"17";"1";"4";"660"
"17";"4";"1";"179"
"17";"4";"4";"2461"
"18";"1";"1";"82"
"18";"1";"4";"722"
"18";"4";"1";"195"
"18";"4";"4";"2643"
"19";"1";"1";"95"
"19";"1";"4";"792"
"19";"4";"1";"211"
"19";"4";"4";"2778"
"20";"1";"1";"108"
"20";"1";"4";"895"
"20";"4";"1";"233"
"20";"4";"4";"2995"
"21";"1";"1";"125"
"21";"1";"4";"1007"
"21";"4";"1";"260"
"21";"4";"4";"3227"
"22";"1";"1";"140"
"22";"1";"4";"1134"
"22";"4";"1";"298"
"22";"4";"4";"3487"
"23";"1";"1";"166"
"23";"1";"4";"1355"
"23";"4";"1";"337"
"23";"4";"4";"3776"
"24";"1";"1";"188"
"24";"1";"4";"1526"
"24";"4";"1";"372"
"24";"4";"4";"4182"
"25";"1";"1";"214"
"25";"1";"4";"1735"
"25";"4";"1";"417"
"25";"4";"4";"4627"
"26";"1";"1";"245"
"26";"1";"4";"1952"
"26";"4";"1";"473"
"26";"4";"4";"5011"
"27";"1";"1";"275"
"27";"1";"4";"2165"
"27";"4";"1";"534"
"27";"4";"4";"5371"
"28";"1";"1";"293"
"28";"1";"4";"2322"
"28";"4";"1";"569"
"28";"4";"4";"5717"
"29";"1";"1";"315"
"29";"1";"4";"2511"
"29";"4";"1";"621"
"29";"4";"4";"6246"
"30";"1";"1";"336"
"30";"1";"4";"2733"
"30";"4";"1";"671"
"30";"4";"4";"6785"
"31";"1";"1";"374"
"31";"1";"4";"3001"
"31";"4";"1";"729"
"31";"4";"4";"7431"
"32";"1";"1";"406"
"32";"1";"4";"3254"
"32";"4";"1";"784"
"32";"4";"4";"7807"
"33";"1";"1";"441"
"33";"1";"4";"3529"
"33";"4";"1";"868"
"33";"4";"4";"8319"
"34";"1";"1";"488"
"34";"1";"4";"3837"
"34";"4";"1";"939"
"34";"4";"4";"8854"
"35";"1";"1";"562"
"35";"1";"4";"4272"
"35";"4";"1";"1064"
"35";"4";"4";"9492"
"36";"1";"1";"628"
"36";"1";"4";"4635"
"36";"4";"1";"1147"
"36";"4";"4";"10069"
"37";"1";"1";"684"
"37";"1";"4";"4976"
"37";"4";"1";"1200"
"37";"4";"4";"10743"
"38";"1";"1";"770"
"38";"1";"4";"5391"
"38";"4";"1";"1290"
"38";"4";"4";"11564"
"39";"1";"1";"844"
"39";"1";"4";"5795"
"39";"4";"1";"1383"
"39";"4";"4";"12419"
"40";"1";"1";"899"
"40";"1";"4";"6149"
"40";"4";"1";"1458"
"40";"4";"4";"13044"
"41";"1";"1";"961"
"41";"1";"4";"6463"
"41";"4";"1";"1547"
"41";"4";"4";"13604"
"42";"1";"1";"1060"
"42";"1";"4";"6915"
"42";"4";"1";"1626"
"42";"4";"4";"14206"
"43";"1";"1";"1178"
"43";"1";"4";"7562"
"43";"4";"1";"1725"
"43";"4";"4";"14807"
"44";"1";"1";"1345"
"44";"1";"4";"8275"
"44";"4";"1";"1829"
"44";"4";"4";"15468"
"45";"1";"1";"1465"
"45";"1";"4";"8864"
"45";"4";"1";"1929"
"45";"4";"4";"16000"
"46";"1";"1";"1562"
"46";"1";"4";"9345"
"46";"4";"1";"2016"
"46";"4";"4";"16619"
"47";"1";"1";"1697"
"47";"1";"4";"10000"
"47";"4";"1";"2108"
"47";"4";"4";"17216"
"48";"1";"1";"1845"
"48";"1";"4";"10622"
"48";"4";"1";"2226"
"48";"4";"4";"17803"
"49";"1";"1";"1966"
"49";"1";"4";"11254"
"49";"4";"1";"2316"
"49";"4";"4";"18390"
"50";"1";"1";"2104"
"50";"1";"4";"11874"
"50";"4";"1";"2430"
"50";"4";"4";"19028"
"51";"1";"1";"2229"
"51";"1";"4";"12411"
"51";"4";"1";"2552"
"51";"4";"4";"19475"
"52";"1";"1";"2339"
"52";"1";"4";"12897"
"52";"4";"1";"2639"
"52";"4";"4";"20012"
"53";"1";"1";"2446"
"53";"1";"4";"13384"
"53";"4";"1";"2759"
"53";"4";"4";"20631"
"54";"1";"1";"2613"
"54";"1";"4";"14104"
"54";"4";"1";"2869"
"54";"4";"4";"21265"
"55";"1";"1";"2748"
"55";"1";"4";"14902"
"55";"4";"1";"3019"
"55";"4";"4";"21898"
"56";"1";"1";"2883"
"56";"1";"4";"15522"
"56";"4";"1";"3162"
"56";"4";"4";"22439"
"57";"1";"1";"3014"
"57";"1";"4";"16178"
"57";"4";"1";"3305"
"57";"4";"4";"23053"
"58";"1";"1";"3176"
"58";"1";"4";"16857"
"58";"4";"1";"3467"
"58";"4";"4";"23710"
"59";"1";"1";"3378"
"59";"1";"4";"17855"
"59";"4";"1";"3649"
"59";"4";"4";"24458"
"60";"1";"1";"3531"
"60";"1";"4";"18759"
"60";"4";"1";"3809"
"60";"4";"4";"25067"
"61";"1";"1";"3697"
"61";"1";"4";"19606"
"61";"4";"1";"3967"
"61";"4";"4";"25729"
"62";"1";"1";"3909"
"62";"1";"4";"20404"
"62";"4";"1";"4123"
"62";"4";"4";"26412"
"63";"1";"1";"4105"
"63";"1";"4";"21299"
"63";"4";"1";"4268"
"63";"4";"4";"26825"
